"","Group","Mean","Sd","Sem","N","Variable","pval","Stars"
"Mean","Group4
n=8",3.74582005100095,0.182646622736111,0.0645753327487625,8,"Nst_dist",0.00422896417935634,""
"Mean1","Group8
n=7",4.74275208377538,0.608111543762135,0.229844559168883,7,"Nst_dist",0.00422896417935634,"**"
"Mean2","Group4
n=8",2.24011830459849,0.332216101554166,0.117456129114155,8,"Nst_num",2.71836364650496e-05,""
"Mean11","Group8
n=7",1.04150493874451,0.375058659843604,0.141758848715335,7,"Nst_num",2.71836364650496e-05,"****"
