"","diff","lwr","upr","p adj"
"mix-Group8",-0.665652157305216,-1.15855284417373,-0.172751470436703,0.00736681527465666
"Group4-Group8",-0.996932032774431,-1.48983271964294,-0.504031345905918,0.000149339634201384
"Group4-mix",-0.331279875469215,-0.807467178927027,0.144907427988596,0.208415841657192
