"","Group","Sample","Sum"
"1","Group1","20210525-1.mp4",0.088487190721746
"2","Group1","20210525-2.mp4",0.131453230874058
"3","Group1","20210525-3.mp4",0.113985147115895
"4","Group1","20210525-4.mp4",0.0745076948535496
"5","Group1","20210525-5.mp4",0.0681294387902804
"6","Group1","20220104-hs-Cas9-fru_gRNA1.mp4",0.0518868588645526
"7","Group1","20220104-hs-Cas9-fru_gRNA2.mp4",0.041905957522555
"8","Group1","20220104-hs-Cas9-fru_gRNA3.mp4",0.0818530750691779
"9","Group2","20220123-2C0394_Trim.mp4",0.139846734986838
"10","Group2","20220123C0394_Trim.mp4",0.111604556029301
"11","Group2","20220123_elav-GS-V330035-C0394_Trim.mp4",0.134751680876135
"12","Group2","20210525-6.mp4",0.0370183148801328
"13","Group2","20210408-1.mp4",0.0614284765267692
"14","Group2","20210622_promE-GFP_C0076_Trim.mp4",0.0209680959574441
"15","Group2","20210622_promE-GFP_C0076_Trim__2_.mp4",0.0326861456345059
"16","Group2","20210622_promE-GFP_C0073_Trim.mp4",0.0424386885360199
"17","Group3","20210702promE-fru-Trip-29C10d_-2-C0110_Trim.mp4",0.0273208787351829
"18","Group3","20210702-promE-fru-Trip-29C10d_-C0112_Trim__2_.mp4",0.0451902950145237
"19","Group3","20210702_promE-fru-Trip-29C10d_-C0112_Trim__2_.mp4",0.0336230402861671
"20","Group3","20210702__promE-fru-Trip-29C10d_-C0112_Trim__2_.mp4",0.0623729387847301
"21","Group3","20210702-promE-fru-Trip-29C10d_-C0112_Trim__3_.mp4",0.0494244955019197
"22","Group3","20210702_promE-fru-Trip-29C10d_-C0112_Trim__3_.mp4",0.0583616980283861
"23","Group3","20210702___promE-fru-Trip-29C10d_-C0112_Trim__3_.mp4",0.0529595392020623
"24","Group3","20210702promE-fru-Trip-29C10d_-C0112_Trim__4_.mp4",0.0378550333235303
"25","Group4","20210428-2.mp4",0.228984404716622
"26","Group4","20210428-3.mp4",0.209302222182701
"27","Group4","20210428-4.mp4",0.321285894062464
"28","Group4","20210428-5.mp4",0.276816289609467
"29","Group4","20210428-6.mp4",0.233613514401489
"30","Group4","20210428-7.mp4",0.171599504758118
"31","Group4","20220116-promE-v330035-298d-C0379_6.mp4",0.172284709633739
"32","Group4","20220116-promE-v330035-298d-C0379_Moment3.mp4",0.250575373993095
"33","Group5","20210727_promE-fru-IR-v330035-fru_comB_OE_C0010_Trim.mp4",0.0451394292981621
"34","Group5","20210727_promE-fru-IR-v330035-fru_comB_OEC0013_Trim.mp4",0.0437289314570068
"35","Group5","20210727_promE-fru-IR-v330035-fru_comB_OEC0015_Trim.mp4",0.0147294837662186
"36","Group5","20210727_promE-fru-IR-v330035-fru_comB_OE_C0024_Trim.mp4",0.00987899170669872
"37","Group5","20210728_promE-fru-IR-v330035-fru_comB_OE_C0153_Trim__2_.mp4",0.0363268811979976
"38","Group5","20210728_promE-fru-IR-v330035-fru_comB_OE_C0153_Trim__3_.mp4",0.0698340340783359
"39","Group5","20210728_promE-fru-IR-v330035-fru_comB_OE_C0153_Trim__4_.mp4",0.0296943082352841
"40","Group5","20210728_promE-fru-IR-v330035-fru_comB_OE_C0153_Trim.mp4",0.0448610058287188
"41","Group8","20210622_promE-GFP__C0071_Trim.mp4",0.00379478586565472
"42","Group8","20210622_promE-GFP_C0072_Trim.mp4",0.00849837707582079
"43","Group8","20210622_promE-GFP_C0074_Trim.mp4",0.00526584581843776
"44","Group8","20210622_promE-GFP_C0077_Trim.mp4",0.00225502781343603
"45","Group8","20210602-8.mp4",0.0046471226927253
"46","Group8","20210608-4.mp4",0.0102306269516149
"47","Group8","20210608-5.mp4",0.00346256822160437
"48","Group8","20210608-7.mp4",0.00315835936729962
