"","Treat","Mean","Sd","Sem","N","Variable","pval","Stars","variable"
"value","CK
n=5",2197.0995004,105.642082559607,47.2445755775853,5,"value","","","Total CHCs"
"value1","VDRC
n=4",209.0943932,43.319603869733,21.6598019348665,4,"value","0.00019272136883175","***","Total CHCs"
"value2","DSX
n=4",2763.82723825,212.230114501292,106.115057250646,4,"value","1.81239145913281e-09","****","Total CHCs"
"value3","CK
n=5",486.47088776,49.5826097232103,22.1740171685881,5,"value","","","X7 T"
"value11","VDRC
n=4",14.2796387975,2.85504479135605,1.42752239567802,4,"value","1.18012307344095e-05","****","X7 T"
"value21","DSX
n=4",295.005459125,19.3669188718567,9.68345943592837,4,"value","2.30332430906088e-09","****","X7 T"
"value4","CK
n=5",133.0597585,13.7434635927723,6.14626376794645,5,"value","","","X7 11.HD"
"value12","VDRC
n=4",37.07081595,5.33814442828821,2.66907221414411,4,"value","7.67260792022828e-06","****","X7 11.HD"
"value22","DSX
n=4",245.591186225,29.4659405946288,14.7329702973144,4,"value","3.12385423221206e-05","****","X7 11.HD"
