"","diff","lwr","upr","p.adj","Stars","X1","X2","variable","x1","x2","y"
"hnf-cs",-2075.34475816667,-2307.11506335749,-1843.57445297585,8.10185252220208e-12,"****","hnf","cs","Total.CHCs",0.8875,0.6625,2348.7964146188
"Res-cs",-778.37683665,-991.271456117491,-565.482217182509,4.22867256322235e-07,"****","Res","cs","Total.CHCs",1.1125,0.6625,2394.85124627799
"vdrc-cs",-1984.88947282,-2185.60844495812,-1784.17050068188,4.90385509976932e-12,"****","vdrc","cs","Total.CHCs",1.3375,0.6625,2440.90607793718
"Res-hnf",1296.96792151667,1054.57673440321,1539.35910863012,4.1341332579492e-09,"****","Res","hnf","Total.CHCs",1.1125,0.8875,2486.96090959638
"vdrc-Res",-1206.51263617,-1419.40725563749,-993.618016702509,2.06624750642703e-09,"****","vdrc","Res","Total.CHCs",1.3375,1.1125,2533.01574125557
"hnf-cs1",-484.255380436667,-555.816625046789,-412.694135826544,2.63770005837216e-10,"****","hnf","cs","X7.T",1.8875,1.6625,582.108329142402
"vdrc-cs1",-472.39558536,-534.369441118798,-410.421729601201,5.84009507420546e-11,"****","vdrc","cs","X7.T",2.3375,1.6625,628.163160801595
"Res-hnf1",488.600950551667,413.76040953377,563.441491569563,4.02002098276455e-10,"****","Res","hnf","X7.T",2.1125,1.8875,674.217992460787
"vdrc-Res1",-476.741155475,-542.474355969985,-411.007954980015,1.12146625319554e-10,"****","vdrc","Res","X7.T",2.3375,2.1125,720.272824119979
"hnf-cs2",-429.318859956667,-472.07342565993,-386.564294253403,4.75774974972865e-12,"****","hnf","cs","n.C23",2.8875,2.6625,563.16581859048
"Res-cs2",-344.694081245,-383.966657550235,-305.421504939765,9.76496661309056e-12,"****","Res","cs","n.C23",3.1125,2.6625,609.220650249672
"vdrc-cs2",-422.322272654,-459.348812680797,-385.295732627203,4.32076596723618e-12,"****","vdrc","cs","n.C23",3.3375,2.6625,655.275481908864
"Res-hnf2",84.6247787116667,39.9109836169852,129.338573806348,0.000473230533707403,"***","Res","hnf","n.C23",3.1125,2.8875,701.330313568056
"vdrc-Res2",-77.628191409,-116.900767714235,-38.3556151037652,0.000314982127749275,"***","vdrc","Res","n.C23",3.3375,3.1125,747.385145227249
